prompt_id,model,question,condition,domain,pairwise,pragmatic_relevance,ctx_q_cosine,answer_multiplicity,answer_multiplicity_sd,eas_mean,eas_sd,eas_slope,eas_skew,eas_sparsity,eas_early,eas_mid,eas_late,eas_final_quarter,beam_score_entropy,beam_score_raw_std,beam_score_raw_range,beam_first_divergence_position,beam_length_mean,beam_length_sd,beam_sbert_cosine,caa_mean_l2,caa_mean_cosine,displacement_cosine_vs_direct,caa_per_layer_l2,caa_per_layer_cosine,beam_per_layer_cosine,h_fb_thirds,log_h_fb_thirds,h_fb_quintile,log_h_fb_quintile,halflife_rel,peak_pos_rel,peak_rate_pos,slope,mean_H,seq_len,median_pos_rel,p25_pos_rel,p75_pos_rel,exp_H0,exp_k,exp_Hasymp,exp_rmse,Qb1,Qb2,Qb3,Qb4,Qb5,shape_PC1,shape_PC2,shape_PC3
1,Qwen,1,no_context,social,0,,,4.22,0.67,0.4554216888426934,0.1036386444980712,0.0008547031824393,0.0213839892579693,0.4845637583892617,0.3771490168571472,0.5067096706032752,0.4829570870314325,0.4606821732693595,2.290762234033924,0.1557697418053364,0.4400436108062664,0,95.3,44.1521233917464,0.6944119930267334,0.0,1.0,1.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0.878539;0.972719;0.976467;0.975186;0.998023;0.998316;0.998262;0.997942;0.997193;0.996706;0.996242;0.996002;0.996110;0.995933;0.995408;0.995182;0.994922;0.994535;0.994237;0.993396;0.990353;0.987863;0.984088;0.979869;0.978313;0.975329;0.973871;0.971712;0.756723,0.8156095312809889,-0.22475749860933075,0.6023509236065929,-0.5532154271342792,0.4753333333333333,0.0,0.0,-0.002143333304413541,0.5304449280000001,150.0,0.49700000000000005,0.14400000000000002,0.716,6.061139437304478,49.99999999999999,0.3980064517355447,0.8458463917804824,0.7701633466666666,0.37728522333333336,0.5255538200000001,0.5238123633333334,0.4554098866666666,1.2482106777360062,-0.21416607811502358,-0.32164102318554666
2,Qwen,1,direct_information,social,1a,4.63,0.4820123612880707,4.22,0.67,0.4778632447723573,0.0922084777625826,0.0009893026525996,0.0215560180199592,0.5241610738255034,0.4232955753207207,0.4871300436854363,0.5240886228729267,0.5428027665536655,2.2910768041024747,0.1574743606772347,0.4790879239328206,0,102.6,32.15338240372232,0.7823662757873535,24.869034676716247,0.9757942434014946,1.0000000184979931,0.000000;1.136879;1.600290;2.227198;2.730763;3.731799;4.911295;4.859732;5.098113;6.749787;7.241686;7.795941;8.464345;8.898300;12.715166;14.087173;14.522922;15.903213;17.235352;18.474913;27.917206;40.782547;48.489613;60.728245;70.982819;82.886650;105.053467;125.976593;0.000000,1.000000;0.994899;0.995077;0.993641;0.990120;0.987154;0.988537;0.988640;0.987495;0.982217;0.986114;0.985898;0.986769;0.984879;0.978132;0.974714;0.974541;0.970169;0.970951;0.975540;0.959898;0.943045;0.943873;0.942623;0.948139;0.954037;0.954020;0.956912;1.000000,0.915844;0.981505;0.982997;0.982665;0.998454;0.998598;0.998553;0.998250;0.997530;0.997063;0.996811;0.996492;0.996594;0.996402;0.995997;0.995843;0.995525;0.995124;0.994818;0.994117;0.992044;0.990278;0.987447;0.984777;0.984763;0.983939;0.983270;0.982441;0.833583,0.8134579927637777,-0.22622211994673774,0.6817777368447309,-0.41698391927907796,0.4640000000000001,0.0,0.0,-0.0020054634021067722,0.5527368806666667,150.0,0.5153333333333333,0.1473333333333333,0.7493333333333333,6.2466359287698845,49.99999999999992,0.4163902951260794,0.8137652196551027,0.8054142766666667,0.4086625466666667,0.5070583033333333,0.5088272033333334,0.5337220733333334,1.665803511428605,-0.22919838991539787,-0.31363338599524637
3,Qwen,1,implicature_information,social,1b,3.0,0.2775838971138,4.22,0.67,0.4985694361965302,0.0934879130071105,-0.000243548273188,0.0047723544730401,0.5184320591382161,0.4717305732162103,0.5031899098313374,0.5217390412803551,0.5344511479880029,2.2836454772385224,0.2057459550081176,0.6338844632916153,0,91.4,43.80684877961436,0.753666341304779,22.48297079267173,0.9781047414089072,0.6298786812815172,0.000000;1.169378;1.730018;2.471063;3.130923;4.562897;5.992022;5.773767;6.030085;7.911615;8.502082;8.970194;9.560352;10.611300;12.583993;13.578450;14.457846;15.124573;17.060520;18.826834;25.019638;31.684484;36.885567;50.530819;59.687786;72.361320;91.866402;115.922226;0.000000,1.000000;0.994416;0.993777;0.991786;0.986949;0.980631;0.982796;0.983954;0.982532;0.975473;0.981072;0.981299;0.983097;0.978610;0.978525;0.976741;0.974779;0.972675;0.971097;0.974191;0.968183;0.966015;0.967916;0.960633;0.964022;0.965163;0.965059;0.963647;1.000000,0.851527;0.962692;0.968588;0.966140;0.997366;0.997803;0.997724;0.997352;0.996557;0.996068;0.995880;0.995679;0.995730;0.995516;0.994945;0.994695;0.994330;0.993651;0.993166;0.992145;0.987347;0.984323;0.979355;0.973778;0.970178;0.963987;0.953180;0.942566;0.737626,0.7917112235532677,-0.33425884776560716,0.6787423601286339,-0.46843639394176445,0.42828571428571427,0.0,0.0,-0.00424171890645975,0.581888601904762,142.0,0.5129523809523808,0.1567619047619048,0.7119047619047619,6.361467072304934,49.99999999999999,0.43923786095222955,0.8504404154147023,0.8800764285714285,0.4851669123809524,0.4900971209523809,0.5077737509523809,0.5463287966666666,2.18332242618095,0.2824546288016022,0.2813410484328456
4,Qwen,1,stochastic_information,social,1c,1.38,0.2038233131170272,4.22,0.67,0.3872241062323252,0.032750055346802,0.001259565157108,0.0368622013507919,0.4526666666666666,0.3107040721178055,0.3903315479159355,0.4606366986632347,0.439785316351213,2.2985099793795616,0.0891980197922106,0.3373515937725703,0,116.7,2.325940669922601,0.8493786454200745,48.426134664436866,0.9474659726537508,0.599207139220731,0.000000;1.128399;1.501319;2.220635;2.948790;4.153672;5.463502;5.234124;5.502814;7.991280;8.401959;9.320139;9.978924;11.436377;13.435695;15.163122;16.702898;18.955624;22.439304;32.911251;47.691322;60.271141;73.735847;96.302422;118.743912;138.176239;172.155167;203.591736;298.800293,1.000000;0.994795;0.995445;0.993588;0.988446;0.983935;0.985601;0.986809;0.985506;0.975030;0.981243;0.979873;0.981613;0.975004;0.975530;0.970520;0.965766;0.957162;0.949734;0.919395;0.878707;0.872521;0.865387;0.848427;0.846323;0.865973;0.870600;0.883579;1.000000,0.955558;0.991065;0.991675;0.990929;0.999077;0.999157;0.999168;0.998984;0.998397;0.998036;0.997912;0.997650;0.997599;0.997425;0.997193;0.997085;0.996905;0.996599;0.996315;0.995845;0.995002;0.993826;0.992160;0.990760;0.991553;0.992480;0.992686;0.992466;0.929037,1.5294247456360923,0.39646143481617435,1.5845561398478514,0.405648276055903,0.5673333333333334,0.5606666666666665,0.521476510067114,0.001259565255700252,0.3872241053333333,150.0,0.5036666666666667,0.31599999999999995,0.7833333333333333,0.32307851350896144,13.090706024285955,4.495238842500507,0.48595460637440463,0.2878298166666667,0.37946462,0.3408277,0.4879030366666667,0.44009535333333333,-0.815880265933665,-1.3824142987856136,0.5815400225008365
5,Qwen,2,no_context,social,0,,,3.56,1.01,0.5268807563605725,0.1005175299412605,0.0016090395344908,0.0346445987733811,0.5523489932885906,0.4046030805110931,0.6028296630978585,0.574155010556688,0.5629730622235098,2.289412037634764,0.1870828760774742,0.7282806888408959,0,107.3,34.1586006739152,0.7539335489273071,0.0,1.000000014387328,1.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0.907135;0.973561;0.979181;0.979147;0.998424;0.998615;0.998542;0.998204;0.997425;0.997021;0.996947;0.996770;0.996810;0.996681;0.996334;0.996167;0.996004;0.995602;0.995341;0.994636;0.992403;0.990416;0.986909;0.983293;0.980658;0.972119;0.969697;0.960783;0.831803,0.9406295638753146,-0.07243561932396353,0.7537642563331464,-0.3038173985048265,0.4999999999999999,0.0,0.0,-0.0013850542907684908,0.6014276000000001,150.0,0.5396666666666667,0.19066666666666665,0.7373333333333334,6.035415517748438,49.99999999999999,0.4713048684567934,0.8617288508372883,0.75437075,0.4868169533333334,0.5865620133333332,0.6119817833333333,0.5674064999999999,3.307349302664596,-0.7587655641157287,0.3786598055961734
6,Qwen,2,direct_information,social,2a,4.63,0.4871504306793213,3.56,1.01,0.5457519481546127,0.1181158153034836,0.0015716477223463,0.0366976555030501,0.5718120805369128,0.4122258757352829,0.6520509878695011,0.573534634587716,0.5942147744329351,2.2940329847791245,0.1319516485195688,0.4617329272379478,0,81.1,49.78242661823547,0.7599043846130371,28.165284539091175,0.9698424955894208,1.0000000123319954,0.000000;1.241028;1.722178;2.472419;2.983620;4.268401;5.859360;5.669243;6.064582;7.540858;8.075068;8.413762;9.298652;10.105947;12.863825;13.841374;14.677954;17.344658;18.723013;22.398592;32.938831;45.433151;53.937897;68.336212;81.552551;94.744354;121.916245;144.369476;0.000000,1.000000;0.993671;0.994052;0.991944;0.988200;0.983545;0.983389;0.984652;0.982391;0.977565;0.983364;0.983656;0.984164;0.981621;0.978136;0.975131;0.973700;0.964672;0.966118;0.965023;0.944416;0.930048;0.929341;0.927303;0.931229;0.942457;0.939699;0.945945;1.000000,0.856440;0.966050;0.970919;0.970274;0.997714;0.998034;0.997871;0.997323;0.996421;0.995797;0.995549;0.995126;0.994921;0.994405;0.993364;0.992896;0.991902;0.991130;0.990269;0.987743;0.983544;0.979406;0.973767;0.970008;0.968904;0.965981;0.964774;0.962901;0.728846,0.931509501404973,-0.08535244885797796,0.8035367011255635,-0.2432632881557116,0.4793333333333333,0.0,0.0,-0.0014167043530823702,0.6201729840000001,150.0,0.5093333333333334,0.21600000000000003,0.7493333333333333,5.904307323446954,49.99999999999996,0.4936386584932233,0.8717542925082709,0.75354826,0.5361440133333334,0.64312167,0.5798660066666667,0.58818497,3.8524425419483856,-0.6124559356166912,0.9821093220008306
7,Qwen,2,implicature_information,social,2b,3.0,0.2873786687850952,3.56,1.01,0.5089270002972244,0.0528159012540165,0.0006806687720336,0.0151380778077982,0.5611580156123566,0.4679002512469888,0.5121022192287429,0.5475610828379468,0.5399616460049013,2.2984861145489837,0.0866149192379854,0.3120206298182407,0,117.9,3.047950130825634,0.7422037720680237,36.8848421326999,0.9509688677458928,0.5938879785866573,0.000000;1.269089;1.706233;2.437455;3.034283;4.227590;5.856498;5.752679;6.136589;8.180601;8.979392;10.010281;10.974240;12.590574;14.376165;15.459651;17.412760;19.565388;22.376215;31.248974;45.015160;58.658676;69.832619;89.952209;111.905197;134.692581;164.008743;194.000580;0.000000,1.000000;0.993448;0.994020;0.992061;0.987779;0.983658;0.983301;0.984131;0.981963;0.973535;0.979366;0.976795;0.977911;0.970952;0.972484;0.968698;0.962723;0.954850;0.951192;0.930997;0.893535;0.881330;0.879403;0.870286;0.865929;0.879845;0.887875;0.900032;1.000000,0.899197;0.965452;0.973529;0.971164;0.997949;0.998260;0.998177;0.997774;0.996882;0.996471;0.996414;0.996196;0.996219;0.995960;0.995699;0.995550;0.995354;0.994868;0.994467;0.993891;0.990623;0.988423;0.983334;0.978598;0.971853;0.972268;0.965052;0.966400;0.844267,0.8064839753471196,-0.23940962684261838,0.6419324020258758,-0.47236852821576586,0.46045372050816696,0.0,0.0,-0.002755491800847172,0.5881352860133091,144.0,0.5108154869933454,0.14111554748941318,0.7369171203871748,6.365257230795136,49.99999999999999,0.44799525497026116,0.8346574457439979,0.838944100090744,0.47650047425287356,0.5085807391772534,0.5972333841923776,0.519417732353297,2.5795649349532135,-0.14841607379557797,0.1852070656995275
8,Qwen,2,stochastic_information,social,2c,1.75,0.2360110282897949,3.56,1.01,0.4464239199589562,0.0707048884323339,0.0010090900650479,0.0257855549740403,0.5100671140939598,0.3949873053133487,0.4310767005085945,0.5145706894446392,0.4911815568412604,2.2936561970633695,0.1381964635990898,0.4090747592722374,0,116.6,6.726068688320095,0.8067910075187683,29.091051085241908,0.9663408706928122,0.5631756885298367,0.000000;1.178796;1.544641;2.146374;2.663488;3.829258;5.426491;5.139491;5.352298;7.202390;8.099846;8.824248;9.744227;11.181602;12.883147;14.272441;15.788491;17.978233;20.507961;29.739933;41.684052;51.294220;58.517624;70.307121;84.535347;98.881332;117.391853;137.525574;0.000000,1.000000;0.994121;0.994999;0.993755;0.990594;0.986484;0.985843;0.987343;0.986309;0.979640;0.983387;0.982066;0.982597;0.977159;0.977973;0.973978;0.969624;0.962199;0.959163;0.937576;0.909333;0.909991;0.916296;0.922818;0.926479;0.937769;0.945028;0.951360;1.000000,0.947897;0.987824;0.988347;0.987980;0.998852;0.998913;0.998901;0.998606;0.997857;0.997321;0.996885;0.996608;0.996430;0.996099;0.995588;0.995644;0.995306;0.994892;0.994536;0.993378;0.991981;0.989986;0.986353;0.984460;0.985546;0.986668;0.986956;0.986288;0.845243,0.8347225245538098,-0.20788668809702182,0.6308764481320188,-0.48479396131366687,0.4746666666666667,0.0,0.0,-0.001994397219965343,0.521507146,150.0,0.49800000000000005,0.13466666666666663,0.7346666666666667,6.086318298276497,49.99999999999999,0.388251710025839,0.8237726650867196,0.77902358,0.3743814833333333,0.4522708866666667,0.5155806433333332,0.48627913666666656,0.9049202097782413,-0.19940071288104722,-0.552510610445797
9,Qwen,3,no_context,natural,0,,,2.78,1.39,0.2987900660842057,0.0401792785852714,-0.0002943470820501,-0.0292315817183914,0.3836241610738255,0.2932710335254669,0.3600242105424404,0.2422959370394141,0.2404195772974114,2.296141175242407,0.1173209581841772,0.4053502103313803,0,113.3,3.407345007480164,0.8267778754234314,0.0,1.0000000102766629,1.0,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0.959274;0.990670;0.991226;0.990142;0.999087;0.999165;0.999175;0.999031;0.998474;0.998066;0.997691;0.997452;0.997404;0.997229;0.996992;0.996975;0.996877;0.996556;0.996322;0.995996;0.995314;0.994226;0.992431;0.991348;0.991869;0.992349;0.992585;0.992301;0.894949,0.46304200915112387,-1.0264200548703664,0.3586616272739881,-1.1998078940883974,0.32425000000000004,0.0,0.0,-0.028198446384487673,0.4385090355,136.6,0.48687500000000006,0.06091666666666666,0.5976666666666668,6.635308403499231,49.999999999999986,0.2417558230422101,0.7383284517581936,0.9480887066666666,0.3249380599999999,0.3351511766666667,0.24466473,0.2712565333333333,-2.4849342098294183,2.31709608432949,-0.24657439939734446
10,Qwen,3,direct_information,natural,3a,4.0,0.6216428875923157,2.78,1.39,0.3509835926478341,0.0841473180123277,-0.0012377362624932,-0.0487833359853673,0.4181208053691275,0.4279266923666,0.326258720099926,0.2976996873714486,0.3047345971590595,2.2818132197005965,0.2242651530038208,0.6323740734656651,0,95.6,32.76034187855798,0.7559208273887634,31.78303339563567,0.9651047073561568,1.0000000226086585,0.000000;1.175657;1.594464;2.319828;2.848432;4.301197;5.621903;5.609176;5.982949;7.799986;8.464173;9.058985;9.976624;10.917281;14.119271;15.685756;16.495256;17.939287;19.261045;22.350033;32.384914;47.873890;57.392704;76.250153;94.751022;115.536987;142.943512;173.053482;0.000000,1.000000;0.994291;0.994671;0.992822;0.989111;0.983719;0.984585;0.985289;0.983684;0.977584;0.982469;0.981106;0.982136;0.978849;0.973454;0.968640;0.967266;0.962321;0.964305;0.965267;0.946704;0.925828;0.923377;0.909811;0.908977;0.918710;0.918824;0.924236;1.000000,0.897648;0.977958;0.979492;0.978367;0.998090;0.998366;0.998255;0.997862;0.997176;0.996512;0.995824;0.995539;0.995501;0.995259;0.994808;0.994642;0.994444;0.993875;0.993441;0.992936;0.990895;0.988945;0.985802;0.983422;0.983266;0.982317;0.981949;0.979670;0.777076,0.44838737580977195,-0.8715844710863528,0.36347891638040497,-1.0920629381272366,0.33066666666666666,0.0,0.0,-0.004221866889728443,0.42670308133333334,150.0,0.5026666666666667,0.07266666666666666,0.6279999999999999,6.157368299679161,49.99999999999993,0.2894760903074012,0.789019605976712,0.83046348,0.34062641000000005,0.3995535233333333,0.2594709233333333,0.30340107,-1.9295098244653779,1.7009007113342893,0.10657730588703515
