model,family,DV,b_prag,p_prag,b_sim,p_sim,b_mult,p_mult,b_mult_sd,p_mult_sd,R2,n
Qwen,representation,caa_mean_l2,-0.9237946564293259,0.0001225481622734998,0.3885705063640264,0.03380783890336085,-0.2472655918654813,0.056318052909960295,0.12336789963839427,0.018444051457232342,0.47251053795547915,45
Qwen,representation,caa_mean_cosine,0.7513182134674762,0.003063290515751214,-0.33694300872406935,0.0923295920199459,0.2791869567220916,0.04006308431673175,-0.23289062631346205,0.001225788719900419,0.40257524126463806,45
Qwen,output_shape,shape_PC2,0.5336882950234683,0.0010613378632541607,-0.11925850767109118,0.5618010185305123,-0.3807052042967069,0.02551449414502151,0.1701698289356201,0.27690248583817734,0.3942052961596385,45
Qwen,output_shape,exp_k,0.7020734971578194,0.0019815152590983514,-0.079484275845873,0.7402252723790925,0.11940076594544989,0.39733264617022623,0.1638755819182492,0.08056836167981721,0.4338625703919001,45
Qwen,output_shape,halflife_rel,-0.5694183250964394,0.001565035497238399,0.09278840121045936,0.6729067040417083,0.2824611171035975,0.18830220594958513,-0.1769899120127872,0.2963426594401928,0.37673956222183214,45
Qwen,output_shape,log_h_fb_quintile,-0.6581487849042286,0.0007618086351159755,0.16752063883688414,0.46868664494400647,0.22324547723380916,0.33742478175389057,-0.12068075633363948,0.4516001309893496,0.3474232662171015,45
Qwen,output_convergence,beam_score_entropy,-0.4413142253936022,0.1444471193866009,0.03559103151640944,0.9045773225114094,-0.04371366082563571,0.6505373055645215,-0.2860568654438904,0.004194860862997828,0.2463650393944402,45
Qwen,output_convergence,beam_sbert_cosine,-0.46082071193316565,0.11576140914819422,0.3432092303665814,0.1841849496340986,-0.012219212461307128,0.9019711631920367,-0.5446189752169914,2.5016210280801664e-08,0.3490670076976403,45
DeepSeek,representation,caa_mean_l2,-0.4818848980346383,0.07438603950918754,0.1195699152984082,0.494857518545478,-0.1728951975897167,0.12452659029039817,0.34519035555170946,0.056746728918745354,0.3247877313477311,45
DeepSeek,representation,caa_mean_cosine,0.44464096871455566,0.10427330270583403,-0.06201079174995242,0.7468519716326647,0.15414039509973398,0.04165565397428245,-0.3102406128919677,0.08412814928588118,0.2971362405189687,45
