metric,cond_a,cond_b,n_pairs,statistic,p_value,mean_a,mean_b
H_total,direct_information,implicature_information,15,31.0,0.10699462890625,53.09119212666667,43.41000253333334
H_total,direct_information,no_context,15,38.0,0.22930908203125,53.09119212666667,47.22106763333334
H_total,direct_information,stochastic_information,15,27.0,0.063720703125,53.09119212666667,41.58925936
H_total,implicature_information,no_context,15,51.0,0.638671875,43.41000253333334,47.22106763333334
H_total,implicature_information,stochastic_information,15,56.0,0.846923828125,43.41000253333334,41.58925936
H_total,no_context,stochastic_information,15,39.0,0.25238037109375,47.22106763333334,41.58925936
half_life_rel,direct_information,implicature_information,15,42.0,0.306526583291276,0.4759528537776404,0.48871091508507475
half_life_rel,direct_information,no_context,15,32.0,0.12054443359375,0.4759528537776404,0.49679634969314257
half_life_rel,direct_information,stochastic_information,15,32.0,0.12054443359375,0.4759528537776404,0.49280613402096946
half_life_rel,implicature_information,no_context,15,44.0,0.389404296875,0.48871091508507475,0.49679634969314257
half_life_rel,implicature_information,stochastic_information,15,50.0,0.5994873046875,0.48871091508507475,0.49280613402096946
half_life_rel,no_context,stochastic_information,15,56.0,0.846923828125,0.49679634969314257,0.49280613402096946
H_fb_ratio,direct_information,implicature_information,15,31.0,0.10699462890625,0.9087710280654121,0.9890721991056272
H_fb_ratio,direct_information,no_context,15,32.0,0.12054443359375,0.9087710280654121,1.016766761334118
H_fb_ratio,direct_information,stochastic_information,15,6.0,0.0008544921875,0.9087710280654121,1.0284368489415903
H_fb_ratio,implicature_information,no_context,15,48.0,0.52447509765625,0.9890721991056272,1.016766761334118
H_fb_ratio,implicature_information,stochastic_information,15,26.0,0.05535888671875,0.9890721991056272,1.0284368489415903
H_fb_ratio,no_context,stochastic_information,15,52.0,0.67877197265625,1.016766761334118,1.0284368489415903
EAS_fb_ratio,direct_information,implicature_information,15,33.0,0.1353759765625,1.1856512775727006,1.3122986586600514
EAS_fb_ratio,direct_information,no_context,15,28.0,0.072998046875,1.1856512775727006,1.321296180981228
EAS_fb_ratio,direct_information,stochastic_information,15,25.0,0.04791259765625,1.1856512775727006,1.3416729263271834
EAS_fb_ratio,implicature_information,no_context,15,59.0,0.97796630859375,1.3122986586600514,1.321296180981228
EAS_fb_ratio,implicature_information,stochastic_information,15,54.0,0.76153564453125,1.3122986586600514,1.3416729263271834
EAS_fb_ratio,no_context,stochastic_information,15,49.0,0.5614013671875,1.321296180981228,1.3416729263271834
