model,metric,cond_a,cond_b,mean_a,mean_b,delta,W,p,sig,n
deepseek,eas_mean,direct_information,stochastic_information,0.42180239154044685,0.4472575710011959,-0.025455179460749044,32.0,0.12054443359375,ns,15
deepseek,eas_mean,direct_information,no_context,0.42180239154044685,0.43568157287085685,-0.013879181330409995,40.0,0.27685546875,ns,15
deepseek,eas_mean,implicature_information,stochastic_information,0.44180580478053694,0.4472575710011959,-0.00545176622065896,50.0,0.5994873046875,ns,15
deepseek,eas_mean,no_context,stochastic_information,0.43568157287085685,0.4472575710011959,-0.011575998130339049,45.0,0.42120361328125,ns,15
deepseek,beam_sbert_cosine,direct_information,stochastic_information,0.9866347750027974,0.9791828393936157,0.00745193560918167,40.0,0.27685546875,ns,15
deepseek,beam_sbert_cosine,direct_information,no_context,0.9866347750027974,0.985303521156311,0.0013312538464863577,49.0,0.5614013671875,ns,15
deepseek,beam_sbert_cosine,implicature_information,stochastic_information,0.9799226482709249,0.9791828393936157,0.0007398088773091782,20.0,0.02154541015625,*,15
deepseek,beam_sbert_cosine,no_context,stochastic_information,0.985303521156311,0.9791828393936157,0.0061206817626953125,41.0,0.30279541015625,ns,15
deepseek,beam_first_divergence_position,direct_information,stochastic_information,64.8,73.86666666666666,-9.066666666666663,45.5,0.410103931438363,ns,15
deepseek,beam_first_divergence_position,direct_information,no_context,64.8,87.13333333333334,-22.333333333333343,28.0,0.072998046875,†,15
deepseek,beam_first_divergence_position,implicature_information,stochastic_information,79.53333333333333,73.86666666666666,5.666666666666671,46.5,0.44304712931479207,ns,15
deepseek,beam_first_divergence_position,no_context,stochastic_information,87.13333333333334,73.86666666666666,13.26666666666668,32.5,0.20917434878385344,ns,15
deepseek,beam_length_mean,direct_information,stochastic_information,117.14666666666666,105.66666666666666,11.480000000000004,36.0,0.30028987962532405,ns,15
deepseek,beam_length_mean,direct_information,no_context,117.14666666666666,121.06666666666665,-3.9199999999999875,55.0,0.803955078125,ns,15
deepseek,beam_length_mean,implicature_information,stochastic_information,115.71999999999998,105.66666666666666,10.053333333333327,44.0,0.3633911924921729,ns,15
deepseek,beam_length_mean,no_context,stochastic_information,121.06666666666665,105.66666666666666,15.399999999999991,27.5,0.06485617145262018,†,15
deepseek,H_fb_ratio,direct_information,stochastic_information,0.9087710280654121,1.0284368489415903,-0.11966582087617816,6.0,0.0008544921875,***,15
deepseek,H_fb_ratio,direct_information,no_context,0.9087710280654121,1.016766761334118,-0.10799573326870593,32.0,0.12054443359375,ns,15
deepseek,H_fb_ratio,implicature_information,stochastic_information,0.9890721991056272,1.0284368489415903,-0.039364649835963106,26.0,0.05535888671875,†,15
deepseek,H_fb_ratio,no_context,stochastic_information,1.016766761334118,1.0284368489415903,-0.011670087607472235,52.0,0.67877197265625,ns,15
