prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
1,no_context,social,150,150,79.59918859999999,0.5306612573333332,74,0.5,0.513638136,0.522153292,0.556192344,1.0828486146519307,0.2595245148,0.38135530259999995,0.3403263898,1.3113458282053594
2,direct_information,social,150,150,75.3850185,0.50256679,69,0.4666666666666667,0.5433095160000001,0.5165977979999999,0.447793056,0.8241951278467943,0.31060470560000003,0.3000031246,0.2743973904,0.883429598627433
3,implicature_information,social,126,126,61.229783000000005,0.48595065873015875,63,0.5079365079365079,0.44955164523809515,0.5286987928571429,0.47960153809523803,1.0668441394341412,0.2443367007142857,0.2767069733333334,0.2788650797619047,1.1413147470137721
4,stochastic_information,social,140,140,68.5671539,0.48976538499999994,69,0.5,0.46148655217391304,0.5205231489361702,0.48668477659574455,1.0546022940498068,0.22821787608695648,0.27486649425531917,0.2833290697872341,1.2414849995329855
5,no_context,social,69,69,32.8594906,0.47622450144927536,36,0.5362318840579711,0.4597995086956522,0.46448009565217385,0.5043939,1.0969866005965339,0.24140742304347826,0.28282301695652173,0.32847943913043476,1.3606849159368002
6,direct_information,social,101,101,41.843546800000006,0.41429254257425746,46,0.46534653465346537,0.4110966212121212,0.4461799294117647,0.38550707941176476,0.9377529746537311,0.1666263457575758,0.2598808802941176,0.22222548970588235,1.3336755883082114
7,implicature_information,social,100,100,44.29748300000001,0.44297483000000004,51,0.52,0.4338615454545454,0.4323681696969697,0.46211477647058824,1.0651203853211804,0.17023505606060607,0.2513273848484849,0.28805244588235296,1.692086533456436
8,stochastic_information,social,123,123,62.4766532,0.5079402699186992,64,0.5284552845528455,0.460988743902439,0.5476387048780488,0.5151933609756097,1.1175833852564572,0.19725138926829267,0.3312730195121951,0.3035560670731708,1.5389299319980312
9,no_context,natural,56,56,25.018445200000002,0.44675795,26,0.48214285714285715,0.5035176222222222,0.3850904684210526,0.4546531105263158,0.902953720904051,0.15945240722222223,0.2113163747368421,0.2521583121052632,1.5814017266847566
10,direct_information,natural,84,84,36.490941299999996,0.4344159678571428,41,0.5,0.4369132642857143,0.4475702678571429,0.4187643714285714,0.9584611080947302,0.1829875664285714,0.24082538714285717,0.2590775457142857,1.4158204886309353
11,implicature_information,natural,150,150,61.0251564,0.406834376,67,0.4533333333333333,0.464912354,0.37183411,0.383756664,0.8254387320496973,0.2235536566,0.18934358639999999,0.22365547540000003,1.0004554557574614
12,stochastic_information,natural,41,41,21.053666800000002,0.513504068292683,19,0.4878048780487805,0.5521527076923077,0.48271439285714285,0.5084057214285714,0.9207701317873194,0.22578784999999998,0.27372689857142857,0.2412228692857143,1.0683607168663607
13,no_context,natural,106,106,41.616762200000004,0.39261096415094343,55,0.5283018867924528,0.38630888571428573,0.3805580742857143,0.4104560722222222,1.0625074581530483,0.184525412,0.2172582154285714,0.21315641055555556,1.1551601930879611
14,direct_information,natural,111,111,45.99554,0.4143742342342342,49,0.45045045045045046,0.4693979270270271,0.42193004594594596,0.3517947297297297,0.7494594873007907,0.22208550513513517,0.22605918108108106,0.1901372372972973,0.8561442908288954
15,implicature_information,natural,125,125,46.7525478,0.3740203824,57,0.464,0.4032193170731707,0.3706143238095238,0.34892271904761907,0.8653422697611022,0.18447691219512194,0.18573603452380955,0.21606836976190474,1.1712488418787517
16,stochastic_information,natural,127,127,48.389531999999996,0.38101993700787395,60,0.48031496062992124,0.38182021428571433,0.38808489285714287,0.3733376162790698,0.9777837901471161,0.14492761571428572,0.20873629928571424,0.21481463186046507,1.482220146945331
17,no_context,economic,81,81,27.7791258,0.34295217037037035,37,0.4691358024691358,0.3673517851851852,0.3201509592592593,0.34135376666666667,0.9292285499431758,0.17460384999999995,0.18534228185185178,0.19846615962962963,1.1366654265047975
18,direct_information,economic,145,145,47.310829600000005,0.3262815834482759,74,0.5172413793103449,0.3162061916666667,0.3404843479166666,0.32223844285714287,1.0190769546879561,0.11866851166666666,0.18363922124999998,0.18954159591836736,1.5972358063340284
19,implicature_information,economic,117,117,43.550579899999995,0.3722271786324786,59,0.5128205128205128,0.3480900743589744,0.3943437256410256,0.3742477358974359,1.0751462436457924,0.1627219612820513,0.2278330033333333,0.20401264153846152,1.2537498929529232
20,stochastic_information,economic,96,96,40.7782117,0.42477303854166665,49,0.5208333333333334,0.42859845937499996,0.376439709375,0.469280946875,1.094919817395809,0.16554741687500002,0.238037398125,0.2708446471875,1.6360548071372616
21,no_context,economic,107,107,53.390166799999996,0.4989735214953271,52,0.4953271028037383,0.5215901628571428,0.4741211888888889,0.5018374527777777,0.9621298262774655,0.26784188542857135,0.2710719861111111,0.33731159972222224,1.2593683739288686
22,direct_information,economic,90,90,36.710272399999994,0.4078919155555555,45,0.5111111111111111,0.44180437999999994,0.3542830533333333,0.4275883133333333,0.9678227122450288,0.18632475533333331,0.222603707,0.282943333,1.5185493333605453
23,implicature_information,economic,55,55,25.037608999999993,0.45522925454545443,25,0.4727272727272727,0.47501315000000005,0.4734692888888889,0.4192065842105263,0.8825157455336263,0.18811910444444446,0.33128800388888885,0.29170408263157893,1.550635080328725
