prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
1,no_context,social,150,150,76.30653280000001,0.5087102186666668,81,0.5466666666666666,0.45735299999999995,0.50756563,0.5612120260000001,1.2270872302138613,0.2663545298,0.29773963020000005,0.3386117576,1.2712821435935646
2,direct_information,social,150,150,71.51539600000001,0.4767693066666667,76,0.5133333333333333,0.42447096199999995,0.53163483,0.474202128,1.117160348886245,0.22489292079999998,0.2843193886,0.25534589020000004,1.1354109737721902
3,implicature_information,social,150,150,82.2674308,0.5484495386666667,78,0.5266666666666666,0.5128729879999999,0.565776986,0.566698642,1.1049492861963712,0.2730736574,0.34789868739999996,0.33564727320000004,1.229145558732316
4,stochastic_information,social,150,150,78.750928,0.5250061866666667,80,0.54,0.4484281320000001,0.560700838,0.56588959,1.261940430624009,0.2315447024,0.30819722759999996,0.3494134418,1.5090539242671959
5,no_context,social,150,150,72.08851739999999,0.4805901159999999,78,0.5266666666666666,0.44877604,0.499852076,0.493142232,1.098860429358038,0.163498527,0.2736616244,0.3025496066,1.8504729807137652
6,direct_information,social,150,150,78.09053019999999,0.5206035346666666,72,0.4866666666666667,0.48251674199999994,0.57689342,0.502400442,1.0412083110683028,0.22782893679999996,0.3447375742,0.30587808000000005,1.3425778318428254
7,implicature_information,social,108,108,52.8321499,0.4891865731481481,53,0.5,0.45615281388888895,0.5126001583333332,0.49880674722222235,1.0935079912577788,0.2306604425,0.28258520694444444,0.28672811861111114,1.2430745189917476
8,stochastic_information,social,93,93,40.2687659,0.4329974827956989,48,0.5268817204301075,0.3712636000000001,0.48044968387096776,0.44727916451612904,1.2047482287951983,0.1801505229032258,0.24979856774193546,0.21897659516129037,1.2155201751977225
9,no_context,natural,150,150,50.99723,0.33998153333333336,64,0.43333333333333335,0.34337315599999996,0.41367587199999994,0.262895572,0.7656264545036248,0.15930471999999998,0.2225458668,0.1511632614,0.9488938017655724
10,direct_information,natural,150,150,57.0631039,0.38042069266666667,72,0.4866666666666667,0.3375431099999999,0.44566528000000005,0.358053688,1.0607643213336515,0.1544152458,0.25357745660000003,0.2150915526,1.3929424616439008
11,implicature_information,natural,150,150,58.5678171,0.390452114,71,0.48,0.379636812,0.43123446,0.36048507,0.9495524633159127,0.1630920562,0.2678264596,0.2208316984,1.3540309905051033
12,stochastic_information,natural,104,104,45.0923254,0.4335800519230769,56,0.5480769230769231,0.35205686176470585,0.4842215085714286,0.4621325514285714,1.312664519907678,0.16077103617647057,0.2934979905714286,0.26243639714285716,1.6323611726604377
13,no_context,natural,150,150,50.563048300000005,0.3370869886666667,71,0.48,0.3600062500000001,0.325929006,0.32532571,0.9036668391173762,0.177826046,0.19037186260000002,0.17973335099999999,1.010725678509435
14,direct_information,natural,150,150,54.714123,0.36476082,69,0.4666666666666667,0.41460521000000006,0.31782680799999996,0.361850442,0.8727590326228654,0.24520079179999998,0.19831233800000003,0.19714249539999998,0.8040043180643595
15,implicature_information,natural,150,150,54.314452200000005,0.362096348,73,0.49333333333333335,0.36692368000000003,0.3824220600000001,0.336943304,0.9182926106050173,0.1952536514,0.223341142,0.1932262914,0.9896167882881395
16,stochastic_information,natural,141,141,53.661405200000004,0.3805773418439717,67,0.48226950354609927,0.4222859234042552,0.3370221510638298,0.38242395106382976,0.9056043071029259,0.20505252468085106,0.16461616978723403,0.20665905212765953,1.0078347118588709
17,no_context,economic,150,150,47.872918,0.31915278666666663,79,0.5333333333333333,0.25240227,0.370241672,0.334814418,1.3265111205220144,0.09963348559999999,0.22643864600000005,0.19650210680000002,1.9722496469600581
18,direct_information,economic,150,150,56.285870300000006,0.37523913533333336,80,0.54,0.283136208,0.4390893639999999,0.403491834,1.4250803062249107,0.1368932428,0.2483030668,0.2433866622,1.7779304312016777
19,implicature_information,economic,150,150,52.3222212,0.34881480800000003,83,0.56,0.27438077,0.38165459999999995,0.3904090540000001,1.4228732356134146,0.13288628319999998,0.223161317,0.22760278100000003,1.7127635412712037
20,stochastic_information,economic,150,150,49.872361600000005,0.3324824106666667,79,0.5333333333333333,0.28675997599999997,0.36073512999999996,0.34995212600000003,1.2203660039363375,0.12221193220000001,0.22882075159999996,0.17995668560000003,1.4724968532982576
21,no_context,economic,150,150,60.5710456,0.40380697066666665,78,0.5266666666666666,0.3724713500000001,0.422402028,0.416547534,1.1183344276009415,0.1766960334,0.23363928899999997,0.24780887140000002,1.4024585987112488
22,direct_information,economic,150,150,59.1268431,0.394178954,79,0.5333333333333333,0.34579624200000003,0.42437315,0.41236747,1.1925157648185198,0.17770228500000002,0.2204793746,0.259852691,1.4622923447495344
23,implicature_information,economic,150,150,60.46890210000001,0.40312601400000003,81,0.5466666666666666,0.314098704,0.463184618,0.43209472,1.3756654022997814,0.1389552522,0.24653232439999997,0.2388994912,1.719254849439941
24,stochastic_information,economic,150,150,57.558138299999996,0.38372092199999996,77,0.52,0.345934598,0.38303072800000004,0.4221974399999999,1.2204545091497323,0.17335272279999997,0.20535150239999997,0.25440517,1.4675579701941668
25,no_context,social,150,150,61.6414745,0.41094316333333336,71,0.48,0.42027762,0.4149204099999999,0.39763146000000005,0.9461161886278885,0.1821927702,0.2484284658,0.2327469548,1.2774763485099037
26,direct_information,social,150,150,66.76422629999999,0.44509484199999994,73,0.49333333333333335,0.4628065779999999,0.4600771840000001,0.412400764,0.891086651754548,0.258478453,0.2639450454,0.21311742620000002,0.8245075120439537
27,implicature_information,social,150,150,59.1766483,0.3945109886666666,79,0.5333333333333333,0.34587493799999997,0.432440806,0.405217222,1.1715715059990846,0.16841866660000002,0.27092792740000005,0.2503929264,1.486729063083557
28,stochastic_information,social,139,139,58.217353599999996,0.4188298820143885,72,0.5251798561151079,0.36210562826086956,0.49144201956521727,0.40328003829787246,1.113708285161864,0.15359317826086955,0.2806691026086957,0.23719244595744676,1.5442902389492095
29,no_context,social,150,150,63.956397599999995,0.426375984,84,0.5666666666666667,0.3288347219999999,0.468921232,0.48137199799999997,1.4638721698008523,0.16358736499999998,0.25723044959999997,0.2403558282,1.469281128160479
30,direct_information,social,150,150,70.4685283,0.46979018866666666,88,0.5933333333333334,0.340230702,0.4925926779999999,0.576547186,1.6945771872169255,0.1852884646,0.3021113854,0.337752853,1.8228487873173298
31,implicature_information,social,150,150,61.6295554,0.41086370266666666,81,0.5466666666666666,0.357285032,0.428097106,0.4472089700000001,1.2516868324895292,0.16156634700000003,0.2480681852,0.26319539459999997,1.6290236146763901
32,stochastic_information,social,150,150,68.27112399999999,0.45514082666666655,82,0.5533333333333333,0.369522022,0.48220604799999994,0.5136944099999999,1.390159122911489,0.165638556,0.2938714064,0.32772249800000003,1.9785399360762361
33,no_context,social,150,150,62.8943692,0.41929579466666667,71,0.48,0.427857608,0.45229795999999994,0.377731816,0.8828446869641734,0.184057506,0.27292625660000003,0.2161959362,1.174610809949799
34,direct_information,social,150,150,62.483149600000004,0.4165543306666667,70,0.47333333333333333,0.43383408399999995,0.45061929200000006,0.36520961600000007,0.8418186340564244,0.199890178,0.23686368800000002,0.19676816279999998,0.9843813476418035
35,implicature_information,social,150,150,59.5135391,0.39675692733333334,68,0.46,0.445512572,0.39392558599999994,0.35083262400000004,0.7874808614828496,0.1956627142,0.203860632,0.191189784,0.9771395883048626
36,stochastic_information,social,150,150,56.022625000000005,0.3734841666666667,68,0.46,0.383790584,0.411815748,0.32484616800000005,0.8464151585334362,0.1708984662,0.217072787,0.1679803866,0.982925068522353
37,no_context,natural,150,150,73.0887458,0.4872583053333333,79,0.5333333333333333,0.41428845000000003,0.5217582180000001,0.525728248,1.2689908395949727,0.16491499500000004,0.301868516,0.3223042426,1.954365899838277
38,direct_information,natural,150,150,70.27465029999999,0.4684976686666666,75,0.5066666666666667,0.413007852,0.528462344,0.46402281,1.1235205523404916,0.1612211402,0.3116572304,0.2888358544,1.7915507485041342
39,implicature_information,natural,124,124,57.8853788,0.4668175709677419,66,0.5403225806451613,0.3974307634146342,0.5113205756097562,0.4911089023809524,1.2357093300011732,0.17364860146341465,0.27201731463414636,0.26684404095238096,1.536689836276057
40,stochastic_information,natural,127,127,56.0430855,0.4412841377952756,70,0.5590551181102362,0.38606509285714286,0.44851683333333336,0.48815452558139527,1.2644358027003206,0.15384681357142857,0.244954975,0.29400340720930235,1.911013952023136
41,no_context,natural,150,150,71.5534808,0.47702320533333337,65,0.44,0.532302998,0.4718921279999999,0.42687448999999994,0.8019389175035229,0.22657884539999998,0.26775938979999997,0.2467369516,1.0889672915598678
42,direct_information,natural,150,150,66.88894389999999,0.44592629266666656,76,0.5133333333333333,0.41935524,0.470699744,0.447723894,1.0676482640350458,0.1802222842,0.28395875319999997,0.25292287339999997,1.4033940060337997
43,implicature_information,natural,150,150,73.98148280000001,0.4932098853333334,71,0.48,0.5104800939999999,0.4982159179999999,0.470933644,0.9225308675797259,0.24498717159999997,0.292063578,0.2738300446,1.117732176797783
44,stochastic_information,natural,114,114,59.109284,0.5185024912280702,59,0.5263157894736842,0.44918563421052626,0.5333844342105264,0.5729374052631581,1.2755025130537263,0.20203314315789475,0.28198326394736845,0.28886353315789476,1.4297828991956014
45,no_context,natural,150,150,65.7734894,0.43848992933333336,81,0.5466666666666666,0.423313608,0.38219372999999995,0.5099624500000001,1.204691841609779,0.2058554038,0.2077087216,0.273629676,1.329232417264336
46,direct_information,natural,150,150,69.6711315,0.46447421,80,0.54,0.42853266399999995,0.45083957599999996,0.51405039,1.1995594109484267,0.17291956200000003,0.22138933839999997,0.289826363,1.6760762035703047
47,implicature_information,natural,120,120,67.0359824,0.5586331866666666,62,0.525,0.5054712450000001,0.5563902075,0.6140381075000001,1.2147834591461282,0.18822041075,0.28614455974999997,0.33742548299999997,1.7927146246013597
48,stochastic_information,natural,127,127,55.81834449999999,0.4395145236220471,66,0.5275590551181102,0.42139329047619045,0.40822504523809516,0.4877761488372092,1.1575318351319823,0.18408883071428572,0.22290275857142858,0.27046415255813955,1.469204576446641
49,no_context,economic,150,150,56.188357100000005,0.37458904733333337,75,0.5066666666666667,0.32457780399999997,0.41911572799999997,0.38007361,1.1709784381928965,0.17181905500000003,0.2244420102,0.21612691299999998,1.2578751116981755
50,direct_information,economic,150,150,54.0695011,0.36046334066666663,72,0.4866666666666667,0.3591377720000001,0.407200978,0.315051272,0.877243488607486,0.1706188248,0.2286523478,0.1925867346,1.1287543143363628
51,implicature_information,economic,150,150,51.776071900000005,0.3451738126666667,66,0.44666666666666666,0.340826432,0.37322746800000006,0.321467538,0.9432001388906363,0.1652438404,0.21200831219999997,0.1708440294,1.0338904553806292
52,stochastic_information,economic,150,150,56.8682272,0.37912151466666666,71,0.48,0.37240725599999996,0.44130825599999995,0.323649032,0.869072841051196,0.1576890238,0.25496330920000004,0.18468005559999998,1.171166205164877
53,no_context,economic,150,150,54.0482665,0.36032177666666665,74,0.5,0.36809740999999996,0.36715677199999996,0.34571114799999997,0.9391838644015452,0.1637882238,0.20376933600000002,0.195017788,1.1906703881112606
54,direct_information,economic,150,150,48.88308079999999,0.32588720533333326,69,0.4666666666666667,0.37336555400000004,0.32769513600000005,0.276600926,0.7408313997814592,0.16931289360000001,0.16992340860000002,0.1414577774,0.8354814237254286
55,implicature_information,economic,150,150,57.280524400000004,0.3818701626666667,63,0.4266666666666667,0.451946548,0.370756134,0.3229078060000001,0.714482293158261,0.2017240232,0.19601125399999997,0.16512795560000001,0.8185834933317948
56,stochastic_information,economic,150,150,56.3714909,0.37580993933333334,72,0.4866666666666667,0.368315078,0.38088941600000004,0.378225324,1.026906978812309,0.1728550378,0.1992974176,0.20229763840000003,1.170331168675953
57,no_context,economic,150,150,66.02198250000001,0.44014655,77,0.52,0.4056444699999999,0.46970942200000004,0.44508575800000005,1.0972311738897862,0.2206965958,0.29040104019999996,0.2355010516,1.067080580678354
58,direct_information,economic,150,150,55.4623185,0.36974879,76,0.5133333333333333,0.38937902,0.34960636,0.37026099,0.9509012324290096,0.1670795562,0.15911024399999998,0.2074616722,1.2416939386148549
59,implicature_information,economic,150,150,74.2621656,0.495081104,78,0.5266666666666666,0.45789279800000005,0.47683763,0.5505128840000001,1.2022746075163209,0.2402818156,0.261643983,0.3011935802,1.2535013498541252
60,stochastic_information,economic,150,150,63.2372124,0.421581416,74,0.5,0.42478342000000013,0.41518293599999995,0.424777892,0.9999869863093994,0.21072627700000002,0.24610873439999995,0.2592486798,1.2302627061550562
