prompt_id,condition,domain,gen_len_H,gen_len_EAS,H_total,H_mean,H_half_life,half_life_rel,H_front_auc,H_mid_auc,H_back_auc,H_fb_ratio,EAS_front_auc,EAS_mid_auc,EAS_back_auc,EAS_fb_ratio
1,no_context,social,150,150,79.5667392,0.530444928,70,0.47333333333333333,0.6041863459999999,0.49789227,0.489256168,0.8097769359389,0.2356370926,0.2878598764,0.29854911500000003,1.2669869234331235
2,direct_information,social,150,150,82.91053209999998,0.5527368806666666,70,0.47333333333333333,0.651612906,0.4845398,0.522057936,0.8011780171831034,0.2198966406,0.2700058752,0.26079298920000005,1.1859798698534554
3,implicature_information,social,70,70,44.4563666,0.6350909514285714,23,0.34285714285714286,0.9593880130434783,0.3991452173913044,0.5504209291666666,0.5737208738105447,0.26115890043478257,0.2690379478260869,0.2991730545833333,1.1455594815465375
4,stochastic_information,social,150,150,58.0836158,0.3872241053333333,85,0.5733333333333334,0.31070406799999994,0.39033154600000003,0.46063670200000006,1.4825576792898643,0.1689418364,0.20453029859999997,0.2656623198,1.57250758877154
5,no_context,social,150,150,90.21414,0.6014276,75,0.5066666666666667,0.6221980739999998,0.6015762259999999,0.5805085,0.9329962985388478,0.22308728779999998,0.3035942224,0.3682040728,1.6504932953871343
6,direct_information,social,150,150,93.0259476,0.620172984,71,0.48,0.638381562,0.6459135340000001,0.5762238559999999,0.9026323601745878,0.219192327,0.3311275372,0.3309347408,1.509791630616705
7,implicature_information,social,95,95,57.15366690000001,0.6016175463157896,38,0.4105263157894737,0.8076769548387095,0.48824324375000006,0.515371796875,0.638091496590884,0.22059320645161293,0.2549655234375,0.24457301374999998,1.1087060099633985
8,stochastic_information,social,150,150,78.2260719,0.5215071459999999,69,0.4666666666666667,0.6219183180000001,0.4345314680000001,0.5080716519999999,0.8169427355571152,0.20755053779999996,0.22738265680000003,0.2808422334,1.353126984766599
9,no_context,natural,16,16,16.0946471,1.00591544375,0,0.0625,2.66719362,0.1739807,0.3147959166666667,0.11802514609594285,0.20548267,0.11550732999999999,0.10719876333333332,0.521692478170219
10,direct_information,natural,150,150,64.00546220000001,0.4267030813333334,47,0.32,0.658044516,0.32703875000000004,0.295025978,0.4483374161270269,0.256731312,0.18420496960000002,0.16878260739999998,0.6574289909755924
11,implicature_information,natural,150,150,64.22049419999999,0.4281366279999999,57,0.38666666666666666,0.576705386,0.388933372,0.318771126,0.552745186257026,0.189233521,0.20772438619999994,0.1788951614,0.9453671868209862
12,stochastic_information,natural,150,150,49.296312300000004,0.328642082,68,0.46,0.30616593599999997,0.35242540800000005,0.327334902,1.0691421334344655,0.1327934278,0.1915391404,0.1856053708,1.3976999756308723
13,no_context,natural,14,14,17.4244266,1.2446019,0,0.07142857142857142,3.2655123249999995,0.43634806,0.4361274,0.13355558227758338,0.2125506525,0.277831738,0.32086893,1.5096115971697617
14,direct_information,natural,42,42,30.2429618,0.7200705190476191,10,0.2619047619047619,1.2266809999999997,0.4721415000000001,0.46138905714285716,0.37612798856659335,0.1971299935714286,0.21497333000000002,0.24973429571428568,1.2668508286832378
15,implicature_information,natural,39,39,24.1029643,0.6180247256410256,1,0.05128205128205128,1.1929433384615382,0.27826522307692314,0.3828656153846154,0.32094199534939555,0.18222136153846155,0.1416658692307692,0.21340111076923074,1.1711091881189135
16,stochastic_information,natural,150,150,48.18264850000001,0.32121765666666674,67,0.4533333333333333,0.35466154599999994,0.323880432,0.285110992,0.8038959825658687,0.1484562706,0.17931192319999997,0.165759516,1.1165544933202707
17,no_context,economic,150,150,69.28408879999999,0.4618939253333333,68,0.46,0.5685373659999999,0.33110450799999996,0.4860399019999999,0.8548952647027952,0.19767445979999998,0.19876722740000002,0.2915593,1.4749467396799232
18,direct_information,economic,150,150,66.9512763,0.44634184200000004,72,0.4866666666666667,0.5188309,0.39545918999999996,0.42473543599999997,0.8186394372424618,0.160621191,0.2281946172,0.23440077719999997,1.4593390557040506
19,implicature_information,economic,150,150,49.9977758,0.33331850533333335,82,0.5533333333333333,0.280987186,0.32435741400000007,0.39461091600000003,1.404373351032456,0.13188816479999999,0.18168674240000005,0.20224100860000005,1.5334280290175064
20,stochastic_information,economic,150,150,43.3253187,0.288835458,87,0.5866666666666667,0.25465399199999994,0.25561818799999997,0.35623419399999995,1.3988949916009956,0.12820378059999998,0.1392878878,0.190854327,1.488679398585536
21,no_context,economic,150,150,67.2235391,0.4481569273333333,61,0.41333333333333333,0.576064162,0.3768098140000001,0.39159680599999996,0.6797798436903978,0.20692895520000001,0.23529552120000002,0.24024882879999995,1.161020837165083
22,direct_information,economic,150,150,70.3327989,0.468885326,69,0.4666666666666667,0.56646735,0.408057454,0.432131174,0.7628527469411961,0.1878429128,0.2509672154,0.24646213239999998,1.3120651118864037
23,implicature_information,economic,150,150,70.61948369999999,0.4707965579999999,68,0.46,0.5648003939999999,0.3944520020000001,0.45313727800000003,0.8022963206360655,0.18477334900000003,0.2284094914,0.2694518006,1.4582828208628722
24,stochastic_information,economic,150,150,53.7708394,0.35847226266666665,81,0.5466666666666666,0.311216644,0.34967802000000003,0.414522124,1.3319407300080004,0.15012822560000003,0.1956345936,0.23579232220000002,1.5706062018493607
25,no_context,social,150,150,76.68087849999999,0.5112058566666666,68,0.46,0.597886328,0.46923990600000004,0.466491336,0.7802341584904079,0.1922581994,0.2521268038,0.26226651859999994,1.364136975268062
26,direct_information,social,150,150,90.8863097,0.6059087313333333,66,0.44666666666666666,0.7348449799999999,0.5465975279999999,0.536283686,0.729791589513206,0.3023694712,0.32287206580000005,0.3425930262,1.1330278312832527
