metric,cond_a,cond_b,n_pairs,statistic,p_value,mean_a,mean_b
H_total,direct_information,implicature_information,15,37.0,0.207763671875,72.46471711333334,56.51152555333335
H_total,direct_information,no_context,15,29.0,0.083251953125,72.46471711333334,88.85536254666665
H_total,direct_information,stochastic_information,15,31.0,0.10699462890625,72.46471711333334,56.21272334000001
H_total,implicature_information,no_context,15,11.0,0.00335693359375,56.51152555333335,88.85536254666665
H_total,implicature_information,stochastic_information,15,57.0,0.890380859375,56.51152555333335,56.21272334000001
H_total,no_context,stochastic_information,15,15.0,0.00836181640625,88.85536254666665,56.21272334000001
half_life_rel,direct_information,implicature_information,15,58.0,0.93408203125,0.5217393296475519,0.5232997225787449
half_life_rel,direct_information,no_context,15,42.0,0.5097974849608639,0.5217393296475519,0.5237020739457449
half_life_rel,direct_information,stochastic_information,15,49.0,0.5614013671875,0.5217393296475519,0.5326714453880156
half_life_rel,implicature_information,no_context,15,51.0,0.9249783071207602,0.5232997225787449,0.5237020739457449
half_life_rel,implicature_information,stochastic_information,15,60.0,1.0,0.5232997225787449,0.5326714453880156
half_life_rel,no_context,stochastic_information,15,52.0,0.6494969828164091,0.5237020739457449,0.5326714453880156
H_fb_ratio,direct_information,implicature_information,15,45.0,0.42120361328125,1.1255916234312404,1.097425073217491
H_fb_ratio,direct_information,no_context,15,50.0,0.5994873046875,1.1255916234312404,1.145022779302113
H_fb_ratio,direct_information,stochastic_information,15,50.0,0.5994873046875,1.1255916234312404,1.1781454113654999
H_fb_ratio,implicature_information,no_context,15,47.0,0.48870849609375,1.097425073217491,1.145022779302113
H_fb_ratio,implicature_information,stochastic_information,15,49.0,0.5614013671875,1.097425073217491,1.1781454113654999
H_fb_ratio,no_context,stochastic_information,15,60.0,1.0,1.145022779302113,1.1781454113654999
EAS_fb_ratio,direct_information,implicature_information,15,60.0,1.0,1.367268058484216,1.376978152930899
EAS_fb_ratio,direct_information,no_context,15,58.0,0.93408203125,1.367268058484216,1.4553715804283582
EAS_fb_ratio,direct_information,stochastic_information,15,53.0,0.7197265625,1.367268058484216,1.54829018149282
EAS_fb_ratio,implicature_information,no_context,15,46.0,0.45428466796875,1.376978152930899,1.4553715804283582
EAS_fb_ratio,implicature_information,stochastic_information,15,59.0,0.97796630859375,1.376978152930899,1.54829018149282
EAS_fb_ratio,no_context,stochastic_information,15,54.0,0.76153564453125,1.4553715804283582,1.54829018149282
