metric,cond_a,cond_b,n_pairs,statistic,p_value,mean_a,mean_b
H_total,direct_information,implicature_information,15,34.0,0.15142822265625,42.134038499999996,45.04434242666666
H_total,direct_information,no_context,15,45.0,0.42120361328125,42.134038499999996,42.69396122
H_total,direct_information,stochastic_information,15,13.0,0.00537109375,42.134038499999996,47.128714226666666
H_total,implicature_information,no_context,15,34.0,0.15142822265625,45.04434242666666,42.69396122
H_total,implicature_information,stochastic_information,15,24.0,0.041259765625,45.04434242666666,47.128714226666666
H_total,no_context,stochastic_information,15,15.0,0.00836181640625,42.69396122,47.128714226666666
half_life_rel,direct_information,implicature_information,15,24.0,0.040644293166254335,0.4991111111111111,0.4822222222222222
half_life_rel,direct_information,no_context,15,21.5,0.05147355940854066,0.4991111111111111,0.5257777777777778
half_life_rel,direct_information,stochastic_information,15,17.0,0.04639946187090464,0.4991111111111111,0.47733333333333333
half_life_rel,implicature_information,no_context,15,5.0,0.0028442430208742093,0.4822222222222222,0.5257777777777778
half_life_rel,implicature_information,stochastic_information,15,45.0,0.39395965906494446,0.4822222222222222,0.47733333333333333
half_life_rel,no_context,stochastic_information,15,6.0,0.00349419211669646,0.5257777777777778,0.47733333333333333
H_fb_ratio,direct_information,implicature_information,15,34.0,0.15142822265625,1.045753476014959,0.9984825166478408
H_fb_ratio,direct_information,no_context,15,7.0,0.00115966796875,1.045753476014959,1.2620433737184675
H_fb_ratio,direct_information,stochastic_information,15,21.0,0.02557373046875,1.045753476014959,0.9244229903727887
H_fb_ratio,implicature_information,no_context,15,7.0,0.00115966796875,0.9984825166478408,1.2620433737184675
H_fb_ratio,implicature_information,stochastic_information,15,48.0,0.52447509765625,0.9984825166478408,0.9244229903727887
H_fb_ratio,no_context,stochastic_information,15,6.0,0.0008544921875,1.2620433737184675,0.9244229903727887
EAS_fb_ratio,direct_information,implicature_information,15,60.0,1.0,1.285685841349678,1.2690033273087624
EAS_fb_ratio,direct_information,no_context,15,7.0,0.00115966796875,1.285685841349678,1.789726042400406
EAS_fb_ratio,direct_information,stochastic_information,15,28.0,0.072998046875,1.285685841349678,1.1576535249031477
EAS_fb_ratio,implicature_information,no_context,15,0.0,6.103515625e-05,1.2690033273087624,1.789726042400406
EAS_fb_ratio,implicature_information,stochastic_information,15,39.0,0.25238037109375,1.2690033273087624,1.1576535249031477
EAS_fb_ratio,no_context,stochastic_information,15,5.0,0.0006103515625,1.789726042400406,1.1576535249031477
