metric,cond_a,cond_b,n_pairs,statistic,p_value,mean_a,mean_b
H_total,direct_information,implicature_information,15,49.0,0.5614013671875,62.78409312,61.55428813333333
H_total,direct_information,no_context,15,50.0,0.5994873046875,62.78409312,62.23772369999999
H_total,direct_information,stochastic_information,15,28.0,0.072998046875,62.78409312,57.010844766666665
H_total,implicature_information,no_context,15,54.0,0.76153564453125,61.55428813333333,62.23772369999999
H_total,implicature_information,stochastic_information,15,19.0,0.01806640625,61.55428813333333,57.010844766666665
H_total,no_context,stochastic_information,15,26.0,0.05535888671875,62.23772369999999,57.010844766666665
half_life_rel,direct_information,implicature_information,15,56.5,0.8417670991682684,0.5075555555555556,0.5061326164874551
half_life_rel,direct_information,no_context,15,54.0,0.7330123826118418,0.5075555555555556,0.5079999999999999
half_life_rel,direct_information,stochastic_information,15,36.0,0.17241510261138093,0.5075555555555556,0.5179114199469068
half_life_rel,implicature_information,no_context,15,58.0,0.909488229399474,0.5061326164874551,0.5079999999999999
half_life_rel,implicature_information,stochastic_information,15,31.0,0.17700734666467977,0.5061326164874551,0.5179114199469068
half_life_rel,no_context,stochastic_information,15,52.0,0.9749475787506916,0.5079999999999999,0.5179114199469068
H_fb_ratio,direct_information,implicature_information,15,49.0,0.5614013671875,1.0731116604082875,1.0872373923701322
H_fb_ratio,direct_information,no_context,15,53.0,0.7197265625,1.0731116604082875,1.0810623081267516
H_fb_ratio,direct_information,stochastic_information,15,32.0,0.12054443359375,1.0731116604082875,1.13796650154544
H_fb_ratio,implicature_information,no_context,15,56.0,0.846923828125,1.0872373923701322,1.0810623081267516
H_fb_ratio,implicature_information,stochastic_information,15,46.0,0.45428466796875,1.0872373923701322,1.13796650154544
H_fb_ratio,no_context,stochastic_information,15,49.0,0.5614013671875,1.0810623081267516,1.13796650154544
EAS_fb_ratio,direct_information,implicature_information,15,55.0,0.803955078125,1.3082564428708308,1.326259363302334
EAS_fb_ratio,direct_information,no_context,15,49.0,0.5614013671875,1.3082564428708308,1.3510428550682732
EAS_fb_ratio,direct_information,stochastic_information,15,33.0,0.1353759765625,1.3082564428708308,1.4128227705790477
EAS_fb_ratio,implicature_information,no_context,15,54.0,0.76153564453125,1.326259363302334,1.3510428550682732
EAS_fb_ratio,implicature_information,stochastic_information,15,34.0,0.15142822265625,1.326259363302334,1.4128227705790477
EAS_fb_ratio,no_context,stochastic_information,15,45.0,0.42120361328125,1.3510428550682732,1.4128227705790477
