metric,cond_a,cond_b,n_pairs,statistic,p_value,mean_a,mean_b
H_total,direct_information,implicature_information,15,56.0,0.846923828125,63.54659249999999,62.94864321333334
H_total,direct_information,no_context,15,44.0,0.389404296875,63.54659249999999,57.81944169333334
H_total,direct_information,stochastic_information,15,54.0,0.76153564453125,63.54659249999999,61.62309535333334
H_total,implicature_information,no_context,15,49.0,0.5614013671875,62.94864321333334,57.81944169333334
H_total,implicature_information,stochastic_information,15,53.0,0.7197265625,62.94864321333334,61.62309535333334
H_total,no_context,stochastic_information,15,55.0,0.803955078125,57.81944169333334,61.62309535333334
half_life_rel,direct_information,implicature_information,15,45.0,0.39415050825096176,0.3593241167434716,0.39802531970953026
half_life_rel,direct_information,no_context,15,39.5,0.4143312335768291,0.3593241167434716,0.3246834733893557
half_life_rel,direct_information,stochastic_information,15,3.0,0.00030517578125,0.3593241167434716,0.5087805120556799
half_life_rel,implicature_information,no_context,15,44.0,0.389404296875,0.39802531970953026,0.3246834733893557
half_life_rel,implicature_information,stochastic_information,15,7.0,0.00115966796875,0.39802531970953026,0.5087805120556799
half_life_rel,no_context,stochastic_information,15,5.0,0.0017815591405881393,0.3246834733893557,0.5087805120556799
H_fb_ratio,direct_information,implicature_information,15,37.0,0.207763671875,0.63703030131401,0.7497749954813184
H_fb_ratio,direct_information,no_context,15,46.0,0.45428466796875,0.63703030131401,0.5702607511556408
H_fb_ratio,direct_information,stochastic_information,15,5.0,0.0006103515625,0.63703030131401,1.0961992970958128
H_fb_ratio,implicature_information,no_context,15,35.0,0.1688232421875,0.7497749954813184,0.5702607511556408
H_fb_ratio,implicature_information,stochastic_information,15,14.0,0.0067138671875,0.7497749954813184,1.0961992970958128
H_fb_ratio,no_context,stochastic_information,15,5.0,0.0006103515625,0.5702607511556408,1.0961992970958128
EAS_fb_ratio,direct_information,implicature_information,15,46.0,0.45428466796875,1.2015368647537206,1.2602981897000862
EAS_fb_ratio,direct_information,no_context,15,54.0,0.76153564453125,1.2015368647537206,1.1775712419034536
EAS_fb_ratio,direct_information,stochastic_information,15,21.0,0.02557373046875,1.2015368647537206,1.457037640434625
EAS_fb_ratio,implicature_information,no_context,15,55.0,0.803955078125,1.2602981897000862,1.1775712419034536
EAS_fb_ratio,implicature_information,stochastic_information,15,22.0,0.0301513671875,1.2602981897000862,1.457037640434625
EAS_fb_ratio,no_context,stochastic_information,15,17.0,0.012451171875,1.1775712419034536,1.457037640434625
