model,layer,condition,n,pc1,pc12,pc123,PR,total_var
deepseek,15,DI,15,0.18605612218379974,0.3253500461578369,0.4392724633216858,9.849061276155606,4388.57177734375
deepseek,15,II,15,0.13933058083057404,0.2507379353046417,0.3560926020145416,11.69543126018821,4388.57177734375
deepseek,15,SI,15,0.13895197212696075,0.2620438039302826,0.3675619959831238,11.50101234034356,4388.5712890625
deepseek_v2_lite,12,DI,15,0.22175702452659607,0.37876397371292114,0.5050850510597229,8.56814323888895,2194.2861328125
deepseek_v2_lite,12,II,15,0.2270456850528717,0.35271304845809937,0.4520328938961029,9.199211676389506,2194.28515625
deepseek_v2_lite,12,SI,15,0.19667969644069672,0.330571711063385,0.4468800127506256,9.693691992472173,2194.286376953125
llama,15,DI,15,0.23696714639663696,0.3889940679073334,0.5205265283584595,8.115936238755602,4388.56884765625
llama,15,II,15,0.14231988787651062,0.2716076076030731,0.386356383562088,11.146452936371922,4388.56884765625
llama,15,SI,15,0.17039988934993744,0.33159250020980835,0.43781158328056335,9.704435052851919,4388.56787109375
llama_base,32,DI,15,0.26456621289253235,0.3933292627334595,0.502500057220459,7.977735960206089,4388.5712890625
llama_base,32,II,15,0.19118937849998474,0.34866654872894287,0.4709179699420929,9.422927751080943,4388.57177734375
llama_base,32,SI,15,0.18631060421466827,0.33130690455436707,0.45842814445495605,9.510715823294248,4388.57275390625
mistral,16,DI,15,0.19720588624477386,0.3624587059020996,0.48677971959114075,8.926433636294293,4388.56884765625
mistral,16,II,15,0.15231706202030182,0.2795547842979431,0.39174985885620117,10.891604268686454,4388.56787109375
mistral,16,SI,15,0.151027113199234,0.28417688608169556,0.4106632471084595,10.438371239345054,4388.56884765625
qwen,19,DI,15,0.21828529238700867,0.36910393834114075,0.48186469078063965,8.80906015985684,3839.99951171875
qwen,19,II,15,0.24136096239089966,0.3696509301662445,0.4746217727661133,8.673922522243007,3840.00048828125
qwen,19,SI,15,0.21415741741657257,0.33711183071136475,0.4528261423110962,9.3110816389628,3839.998779296875
qwen_base,16,DI,15,0.19862768054008484,0.3518218994140625,0.45446455478668213,9.49451136699528,3839.999267578125
qwen_base,16,II,15,0.14677651226520538,0.2775353789329529,0.3747146427631378,11.510152727713287,3840.000244140625
qwen_base,16,SI,15,0.19961224496364594,0.3314196467399597,0.4403941035270691,9.666108719633835,3840.000244140625
