model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
deepseek,last_token_hs,0,True,False,,,,,,0.42048917922079576,0
deepseek,last_token_hs,1,True,False,-0.028382385761298107,-0.07401420455425978,0.09898423906415699,0.02969057938010243,0.13132048203825694,0.42048917922079576,1000
deepseek,last_token_hs,2,True,False,0.01948819240295599,-0.020813212683424353,0.0931307919323444,0.10007506632336846,0.19676880568919897,0.42048917922079576,1000
deepseek,last_token_hs,3,True,False,0.05578757630937605,-0.0022801490558777004,0.16566576324403284,0.11152040217634929,0.14613418613524726,0.42048917922079576,1000
deepseek,last_token_hs,4,True,False,0.07111581196338326,0.005648538854438814,0.17907079569995402,0.12443163954637748,0.14407413450224432,0.42048917922079576,1000
deepseek,last_token_hs,5,True,False,0.0556240598886964,-0.009347055805847047,0.14969612061977386,0.11243896830275012,0.1487138884269174,0.42048917922079576,1000
deepseek,last_token_hs,6,True,False,0.11350171683738375,0.043400305043905976,0.18443502783775328,0.1799816598302171,0.1874663125404122,0.42048917922079576,1000
deepseek,last_token_hs,7,True,False,0.09207646058879466,0.02694406481459737,0.17289387732744216,0.15638978259000086,0.17636247445256534,0.42048917922079576,1000
deepseek,last_token_hs,8,True,False,0.10019833068314342,0.031882939487695695,0.17737563401460646,0.1630004219542187,0.17477245573244038,0.42048917922079576,1000
deepseek,last_token_hs,9,True,False,0.10939413676897151,0.036898025684058665,0.1870519001036882,0.1797567005672308,0.19603222519234068,0.42048917922079576,1000
deepseek,last_token_hs,10,True,False,0.1325523319718385,0.03857257207855583,0.22027261294424533,0.22536316627383107,0.2597620147649277,0.42048917922079576,1000
deepseek,last_token_hs,11,True,False,0.1677698838076543,0.06281457729637623,0.2461018994450569,0.27253952069709514,0.30318743619808103,0.42048917922079576,1000
deepseek,last_token_hs,12,True,False,0.2019365832783731,0.059448053035885094,0.29462613388895986,0.30995000235056736,0.32505745940878517,0.42048917922079576,1000
deepseek,last_token_hs,13,True,False,0.2407617209001758,0.10386918690055609,0.3301507353782654,0.3426379729387627,0.3232491819703928,0.42048917922079576,1000
deepseek,last_token_hs,14,True,False,0.2635575157714865,0.11687818747013808,0.3485503688454628,0.379443598916132,0.3752633956241959,0.42048917922079576,1000
deepseek,last_token_hs,15,True,False,0.2887467289379834,0.13831403627991676,0.3696589335799217,0.3997736720278061,0.3725517586086774,0.42048917922079576,1000
deepseek,last_token_hs,16,True,False,0.28179069467558476,0.13546287342906,0.3625068061053753,0.39359513165390436,0.3715402219571697,0.42048917922079576,1000
deepseek,last_token_hs,17,True,False,0.24088824167923703,0.11095924004912376,0.3271332383155823,0.32894481681906107,0.28390958155216667,0.42048917922079576,1000
deepseek,last_token_hs,18,True,False,0.24256370283317716,0.124091512337327,0.3274886704981327,0.3169868194218987,0.2466365132501921,0.42048917922079576,1000
deepseek,last_token_hs,19,True,False,0.19492109263352506,0.08516597375273705,0.28938548415899273,0.2674085029642308,0.22626919537843843,0.42048917922079576,1000
deepseek,last_token_hs,20,True,False,0.1704438154351044,0.06692052278667689,0.26870884075760837,0.23204048658796927,0.1908226834351644,0.42048917922079576,1000
deepseek,last_token_hs,21,True,False,0.15417994014941047,0.05765433358028531,0.2533415056765079,0.21216820848452145,0.17715996964685107,0.42048917922079576,1000
deepseek,last_token_hs,22,True,False,0.1408273805066784,0.0531389145180583,0.23927858993411064,0.20039914766402858,0.17754756190832546,0.42048917922079576,1000
deepseek,last_token_hs,23,True,False,0.12247564119780532,0.03983812937512994,0.22161317989230153,0.17710474529717873,0.16033844076419368,0.42048917922079576,1000
deepseek,last_token_hs,24,True,False,0.11197384230969311,0.03245800547301769,0.21292444020509718,0.166157257880534,0.15652212870146975,0.42048917922079576,1000
deepseek,last_token_hs,25,True,False,0.11278921273216998,0.0333986671641469,0.21119061037898063,0.16813918004788378,0.15961847638953727,0.42048917922079576,1000
deepseek,last_token_hs,26,True,False,0.10826739788091115,0.033382938522845504,0.21037968955934047,0.15967431281384378,0.14872198903097825,0.42048917922079576,1000
deepseek,last_token_hs,27,True,False,0.11328107982165415,0.03700551269575954,0.21335739120841024,0.16748375525201667,0.1569057757832565,0.42048917922079576,1000
deepseek,last_token_hs,28,True,False,0.109910389767512,0.03409585999324918,0.21144031956791876,0.16335605781201962,0.15417012140424777,0.42048917922079576,1000
deepseek,last_token_hs,29,True,False,0.11361313406500945,0.030371214868500827,0.22127376943826674,0.1664596826249161,0.15363678010635104,0.42048917922079576,1000
deepseek,last_token_hs,30,True,False,0.1052184293875529,0.014387295953929426,0.22745985388755796,0.16005708015214956,0.15640728563382295,0.42048917922079576,1000
deepseek,mean_pool_hs,0,True,False,0.06396550173630301,-0.009558424586430192,0.14110675379633902,0.1495136878305495,0.22096278029056252,0.42048917922079576,1000
deepseek,mean_pool_hs,1,True,False,0.08115364951225947,0.005638441513292493,0.1592138055711984,0.16634930410925958,0.22499184211969633,0.42048917922079576,1000
deepseek,mean_pool_hs,2,True,False,0.07281606925878571,0.021804507076740264,0.1551593631505966,0.1131932048987683,0.11308532932062801,0.42048917922079576,1000
deepseek,mean_pool_hs,3,True,False,0.07395565631646446,0.006660508352797479,0.15604417100548743,0.13225380315306068,0.15692520486566802,0.42048917922079576,1000
deepseek,mean_pool_hs,4,True,False,0.07904545967664726,0.011469055525958541,0.15221429243683812,0.14859410079325167,0.18579567116704693,0.42048917922079576,1000
deepseek,mean_pool_hs,5,True,False,0.08319214802422466,0.014149980992078781,0.15339278429746625,0.16023429790918936,0.20538805186254067,0.42048917922079576,1000
deepseek,mean_pool_hs,6,True,False,0.09560119972516616,0.014066698844544591,0.16951893009245395,0.18066902985615185,0.2288581113342694,0.42048917922079576,1000
deepseek,mean_pool_hs,7,True,False,0.10747253702201269,0.016831171792000534,0.1864869814366102,0.1936431553374346,0.23512433051367382,0.42048917922079576,1000
deepseek,mean_pool_hs,8,True,False,0.14657775092658412,0.048900822177529335,0.22251495048403738,0.24543037029787745,0.28006117625656063,0.42048917922079576,1000
deepseek,mean_pool_hs,9,True,False,0.19245471302238654,0.08891022987663746,0.260468303412199,0.29516217606840356,0.30669930158879743,0.42048917922079576,1000
deepseek,mean_pool_hs,10,True,False,0.23591511604621201,0.12885767854750158,0.292689736187458,0.3473242571355433,0.34896157521749427,0.42048917922079576,1000
deepseek,mean_pool_hs,11,True,False,0.26457571936682817,0.15062635727226734,0.3270395524799824,0.37633707224135254,0.36307505361162185,0.42048917922079576,1000
deepseek,mean_pool_hs,12,True,False,0.2963809773121258,0.17086206004023552,0.3536636926233768,0.4112093757751291,0.38871650284653225,0.42048917922079576,1000
deepseek,mean_pool_hs,13,True,False,0.28730870672232695,0.16720631532371044,0.3434551015496254,0.40216092675795456,0.38401186249985203,0.42048917922079576,1000
deepseek,mean_pool_hs,14,True,False,0.28361667215497904,0.1670869667083025,0.33703813850879666,0.40259478295248124,0.3953299028202686,0.42048917922079576,1000
deepseek,mean_pool_hs,15,True,False,0.2703467550609888,0.15751829482614993,0.3215929165482521,0.38908865770910794,0.38758928713045593,0.42048917922079576,1000
deepseek,mean_pool_hs,16,True,False,0.24773178127649526,0.13382826820015908,0.30888378024101254,0.36621083648693986,0.37549569126705723,0.42048917922079576,1000
