model,pooling,layer,standardised,condition,mean_cos,ci_lo,ci_hi
deepseek,last_token_hs,0,False,DI,1.0,1.0,1.0
deepseek,last_token_hs,0,False,II,1.0,1.0,1.0
deepseek,last_token_hs,0,False,SI,1.0,1.0,1.0
deepseek,last_token_hs,0,True,DI,0.0,0.0,0.0
deepseek,last_token_hs,0,True,II,0.0,0.0,0.0
deepseek,last_token_hs,0,True,SI,0.0,0.0,0.0
deepseek,last_token_hs,1,False,DI,0.9987849593162537,0.9987025946836139,0.9988334790898026
deepseek,last_token_hs,1,False,II,0.9986085295677185,0.9984990708880626,0.9986572352531399
deepseek,last_token_hs,1,False,SI,0.9985302686691284,0.9983569638819699,0.9986285552231817
deepseek,last_token_hs,1,True,DI,0.006911805830895901,0.0069578601978719234,0.006960648333428048
deepseek,last_token_hs,1,True,II,-0.019871730357408524,-0.012718860991299142,-0.012612201217407469
deepseek,last_token_hs,1,True,SI,-0.010891695506870747,-0.010657590813934357,-0.010649616974113103
deepseek,last_token_hs,2,False,DI,0.9946432113647461,0.9944536685967906,0.9947382090911245
deepseek,last_token_hs,2,False,II,0.9939340949058533,0.9937000281402282,0.9940074632701357
deepseek,last_token_hs,2,False,SI,0.9940220713615417,0.9937899711416354,0.9940925260366175
deepseek,last_token_hs,2,True,DI,0.020041652023792267,0.025885049253702164,0.025916383395454795
deepseek,last_token_hs,2,True,II,-0.0024861758574843407,0.010981018655002117,0.010996745773319017
deepseek,last_token_hs,2,True,SI,-0.0035198249388486147,0.003610759740695376,0.0036115256832203635
deepseek,last_token_hs,3,False,DI,0.9912416934967041,0.9907053778153122,0.9914082437328452
deepseek,last_token_hs,3,False,II,0.9904199242591858,0.989197592493209,0.9909137950487846
deepseek,last_token_hs,3,False,SI,0.9915410280227661,0.9907570844628719,0.9919067106089429
deepseek,last_token_hs,3,True,DI,0.026705844327807426,0.03184448927641012,0.031851369720516616
deepseek,last_token_hs,3,True,II,-0.009802852757275105,-0.003125545568764208,-0.0031249637363965133
deepseek,last_token_hs,3,True,SI,0.011437234468758106,0.0056642689742147975,0.00575240008457229
deepseek,last_token_hs,4,False,DI,0.989814817905426,0.9893741661527614,0.9899859211896995
deepseek,last_token_hs,4,False,II,0.9887340068817139,0.9875007582718556,0.9892951160329949
deepseek,last_token_hs,4,False,SI,0.9898881316184998,0.9889992364716268,0.9903069142700802
deepseek,last_token_hs,4,True,DI,0.03300759568810463,0.033977009356022686,0.034013255252034344
deepseek,last_token_hs,4,True,II,0.0007480039494112134,0.0027484677266340777,0.002790904210061129
deepseek,last_token_hs,4,True,SI,0.020511815324425697,0.013671339489519645,0.013875769095099532
deepseek,last_token_hs,5,False,DI,0.9868994355201721,0.985909433456623,0.987339446073988
deepseek,last_token_hs,5,False,II,0.984755277633667,0.9832287107715251,0.9855657751439099
deepseek,last_token_hs,5,False,SI,0.9862712025642395,0.9853493961101398,0.9869223126896414
deepseek,last_token_hs,5,True,DI,0.043126728385686874,0.04410276934504511,0.04411494973451656
deepseek,last_token_hs,5,True,II,0.006488190498203039,0.011437100358307362,0.01143710837243296
deepseek,last_token_hs,5,True,SI,0.009915539063513279,0.007108485326170924,0.007172694914896367
deepseek,last_token_hs,6,False,DI,0.9799615144729614,0.9769764410519295,0.9815493878660084
deepseek,last_token_hs,6,False,II,0.9757133722305298,0.9733029718423897,0.9767877442559653
deepseek,last_token_hs,6,False,SI,0.976262092590332,0.9742680824820125,0.9774827644481224
deepseek,last_token_hs,6,True,DI,0.06735450774431229,0.06477800756692889,0.06481882235136156
deepseek,last_token_hs,6,True,II,0.01726706326007843,0.015018933452667386,0.015119362096466867
deepseek,last_token_hs,6,True,SI,0.018271900713443756,0.015154417604207993,0.015209564356923631
deepseek,last_token_hs,7,False,DI,0.9744464755058289,0.9709129551690379,0.9763840374160098
deepseek,last_token_hs,7,False,II,0.9694895148277283,0.9659028565919733,0.9713425848294309
deepseek,last_token_hs,7,False,SI,0.9698724150657654,0.9670005963951238,0.9715246428043872
deepseek,last_token_hs,7,True,DI,0.0664978176355362,0.06371825933526648,0.06426027645001421
deepseek,last_token_hs,7,True,II,0.015659421682357788,0.012865707278252583,0.012929675248976315
deepseek,last_token_hs,7,True,SI,0.012620913796126842,0.010576138272881511,0.010639303250166609
deepseek,last_token_hs,8,False,DI,0.9650896787643433,0.9574240294168369,0.9696819847293098
deepseek,last_token_hs,8,False,II,0.9551172256469727,0.9480908817893036,0.958916278168827
deepseek,last_token_hs,8,False,SI,0.9576141834259033,0.9514786228612712,0.9608431293199313
deepseek,last_token_hs,8,True,DI,0.05606045573949814,0.05248385667801187,0.05268963888648129
deepseek,last_token_hs,8,True,II,0.008012021891772747,0.008561361581087605,0.008617878413344987
deepseek,last_token_hs,8,True,SI,0.012412128038704395,0.010045653209090238,0.010055180950514542
deepseek,last_token_hs,9,False,DI,0.9602163434028625,0.9515900115738677,0.9652865173812225
deepseek,last_token_hs,9,False,II,0.9489700794219971,0.9412977389955172,0.9534255715203719
deepseek,last_token_hs,9,False,SI,0.9514040350914001,0.9434626590313401,0.9556627182252628
deepseek,last_token_hs,9,True,DI,0.06139521673321724,0.055684104561904424,0.05617948648027868
deepseek,last_token_hs,9,True,II,0.0019868193194270134,0.007849102839827562,0.007868253346351693
deepseek,last_token_hs,9,True,SI,0.012578525580465794,0.011668981984257698,0.011682687122322979
deepseek,last_token_hs,10,False,DI,0.9538612961769104,0.9430045694088693,0.9600127627720337
deepseek,last_token_hs,10,False,II,0.9401015639305115,0.932033870210396,0.9450869693713396
deepseek,last_token_hs,10,False,SI,0.9450377821922302,0.9371535696471233,0.9494978888962808
deepseek,last_token_hs,10,True,DI,0.10084258764982224,0.08252185583241425,0.09479604074990362
deepseek,last_token_hs,10,True,II,0.006868704687803984,0.016647376120090842,0.016654333571825705
deepseek,last_token_hs,10,True,SI,0.02041497640311718,0.020839974284172058,0.02086655080122906
deepseek,last_token_hs,11,False,DI,0.9357521533966064,0.9244699566242892,0.942979387785527
deepseek,last_token_hs,11,False,II,0.9105190634727478,0.9028365824345977,0.9147584168041496
deepseek,last_token_hs,11,False,SI,0.9195330739021301,0.9111005025999479,0.9245492795886435
deepseek,last_token_hs,11,True,DI,0.12765546143054962,0.09816941362507754,0.1297554405222273
deepseek,last_token_hs,11,True,II,0.005546266213059425,0.01319181825968804,0.013219019456572516
deepseek,last_token_hs,11,True,SI,0.0386635884642601,0.044465430080890656,0.04446576401298593
deepseek,last_token_hs,12,False,DI,0.9234245419502258,0.910240269259081,0.9317138280648981
deepseek,last_token_hs,12,False,II,0.8968144655227661,0.8885136439996834,0.9031281774339238
deepseek,last_token_hs,12,False,SI,0.9067715406417847,0.8996555826228766,0.9101837522111608
deepseek,last_token_hs,12,True,DI,0.13699348270893097,0.09474699860116664,0.15049247208055694
deepseek,last_token_hs,12,True,II,0.00780355604365468,0.013904402032495135,0.013908176996452585
deepseek,last_token_hs,12,True,SI,0.045439425855875015,0.04748170450330388,0.047526761778191116
deepseek,last_token_hs,13,False,DI,0.9185163378715515,0.900711308798543,0.9290771167126053
deepseek,last_token_hs,13,False,II,0.8938261270523071,0.8827554213680263,0.9004235469614514
deepseek,last_token_hs,13,False,SI,0.9018742442131042,0.8939321680492315,0.9072629435331896
deepseek,last_token_hs,13,True,DI,0.12839405238628387,0.08637886267642039,0.14603760159288953
deepseek,last_token_hs,13,True,II,0.0052802665159106255,0.01387256197631377,0.013877897798552422
deepseek,last_token_hs,13,True,SI,0.05271530896425247,0.04829764738679483,0.04839661214067658
deepseek,last_token_hs,14,False,DI,0.9044190645217896,0.8851368289409456,0.9164331220386263
deepseek,last_token_hs,14,False,II,0.8859027624130249,0.8715044896493913,0.8950827005760985
deepseek,last_token_hs,14,False,SI,0.8962096571922302,0.8876667251444637,0.9019717685798108
deepseek,last_token_hs,14,True,DI,0.13779355585575104,0.0819776722747472,0.1769926042448608
deepseek,last_token_hs,14,True,II,0.0041994377970695496,0.01063330285251156,0.01064558445580235
deepseek,last_token_hs,14,True,SI,0.06987936049699783,0.058363545687054916,0.060360783122514444
deepseek,last_token_hs,15,False,DI,0.9074640274047852,0.8909807247950707,0.9185296841299974
deepseek,last_token_hs,15,False,II,0.8906588554382324,0.8774390271257825,0.898676786564977
deepseek,last_token_hs,15,False,SI,0.8970373868942261,0.8887306801200804,0.9024464874478211
deepseek,last_token_hs,15,True,DI,0.13617725670337677,0.07706176832936719,0.1748861753359636
deepseek,last_token_hs,15,True,II,-0.0009773808997124434,0.006781923584640349,0.006807173490564296
deepseek,last_token_hs,15,True,SI,0.07222182303667068,0.061612106861802685,0.06461967529370898
deepseek,last_token_hs,16,False,DI,0.8944578766822815,0.8763658298446478,0.9067147689960321
deepseek,last_token_hs,16,False,II,0.877616286277771,0.868044394178011,0.881870229774776
deepseek,last_token_hs,16,False,SI,0.8816007971763611,0.871099391950147,0.8867963927110238
deepseek,last_token_hs,16,True,DI,0.13327090442180634,0.07685085581370824,0.16289582474086034
deepseek,last_token_hs,16,True,II,-0.0070021506398916245,0.002797742374241382,0.002804743101983627
deepseek,last_token_hs,16,True,SI,0.07641104608774185,0.0674370825296843,0.07033634003199667
deepseek,last_token_hs,17,False,DI,0.8658056855201721,0.8429399256697894,0.8813585190882341
deepseek,last_token_hs,17,False,II,0.8427791595458984,0.8294558149529374,0.8480475294574091
deepseek,last_token_hs,17,False,SI,0.8445723056793213,0.8241780723379132,0.8543569386882127
deepseek,last_token_hs,17,True,DI,0.09544418007135391,0.050176139357642056,0.11089844287697158
deepseek,last_token_hs,17,True,II,-0.018377212807536125,-0.009872014634310401,-0.009850576022377088
deepseek,last_token_hs,17,True,SI,0.0455927848815918,0.042339600622654176,0.042402354268339555
deepseek,last_token_hs,18,False,DI,0.8591966032981873,0.8337357163394908,0.8761942090298352
deepseek,last_token_hs,18,False,II,0.8326715230941772,0.8184275077501457,0.8404175409879373
deepseek,last_token_hs,18,False,SI,0.8344507813453674,0.8112142046910497,0.846020521191715
deepseek,last_token_hs,18,True,DI,0.0856180191040039,0.04366763113319188,0.09837565859023674
deepseek,last_token_hs,18,True,II,-0.0221647247672081,-0.01604709029194714,-0.015970601586388498
deepseek,last_token_hs,18,True,SI,0.04218768700957298,0.04048307240009574,0.040524669016152155
