model,pooling,layer,anisotropy,top1,top3,top5,top1_frac,top3_frac,top5_frac,skipped
deepseek,last_token_hs,0,1.0,0.10409268736839294,0.17421767115592957,0.2342682033777237,0.10409268736839294,0.17421767115592957,0.2342682033777237,False
deepseek,last_token_hs,1,0.9986090660095215,0.6774564385414124,0.7165046334266663,0.744490385055542,0.6784000482276344,0.7175026322260873,0.7455273644075283,False
deepseek,last_token_hs,2,0.9940204620361328,0.26534298062324524,0.39987796545028687,0.4507567286491394,0.26693915342519375,0.4022834345192295,0.45346825932115903,False
deepseek,last_token_hs,3,0.9907423257827759,0.2066316157579422,0.330067902803421,0.3678640127182007,0.20856241868407566,0.33315211656334315,0.37130140011688195,False
deepseek,last_token_hs,4,0.9889766573905945,0.13916216790676117,0.25721222162246704,0.30106282234191895,0.14071329880923503,0.26007916334559306,0.30441853211810915,False
deepseek,last_token_hs,5,0.9852738380432129,0.11051720380783081,0.21984778344631195,0.26641184091567993,0.11216902300716897,0.22313368624801513,0.270393702368859,False
deepseek,last_token_hs,6,0.9758727550506592,0.08386185765266418,0.18296512961387634,0.22911594808101654,0.08593523819435944,0.18748871578485488,0.2347805560665773,False
deepseek,last_token_hs,7,0.9695582389831543,0.06256044656038284,0.13373075425624847,0.18351872265338898,0.06452469180809035,0.13792957336580583,0.1892807623870623,False
deepseek,last_token_hs,8,0.9573391675949097,0.06020938232541084,0.11611177772283554,0.16119790077209473,0.06289242555140913,0.12128593674333744,0.16838118216458925,False
deepseek,last_token_hs,9,0.9513754844665527,0.05548057332634926,0.1196398138999939,0.16259406507015228,0.058316168781096835,0.12575456888830527,0.1709041989465607,False
deepseek,last_token_hs,10,0.9428868293762207,0.06317378580570221,0.14885947108268738,0.18954521417617798,0.06700039054262288,0.1578762863631973,0.20102647345448035,False
deepseek,last_token_hs,11,0.9152706861495972,0.03589745983481407,0.08896563947200775,0.13268797099590302,0.03922059383965323,0.09720145178720024,0.1449712888261514,False
deepseek,last_token_hs,12,0.9004876613616943,0.04999008774757385,0.10168005526065826,0.13652782142162323,0.05551446165512154,0.11291665574506628,0.15161542715107207,False
deepseek,last_token_hs,13,0.8961189389228821,0.06346001476049423,0.10977184772491455,0.15099528431892395,0.07081650884063667,0.12249696212966799,0.16849915536928325,False
deepseek,last_token_hs,14,0.8837556838989258,0.07342132180929184,0.127372145652771,0.16542868316173553,0.08307875484927456,0.14412597052936002,0.18718825369462114,False
deepseek,last_token_hs,15,0.8876025676727295,0.11475718766450882,0.18185032904148102,0.225254625082016,0.12928893160527818,0.2048781016015848,0.253778699257966,False
deepseek,last_token_hs,16,0.8724132776260376,0.09087977558374405,0.16180577874183655,0.1978614628314972,0.10417055530268983,0.18546918403412363,0.22679785820076787,False
deepseek,last_token_hs,17,0.8411176800727844,0.05914955213665962,0.1265205293893814,0.15474848449230194,0.0703225642950951,0.15041953389736523,0.18397958830078462,False
deepseek,last_token_hs,18,0.8330581784248352,0.03696582466363907,0.09175993502140045,0.110999695956707,0.04437364114657018,0.11014829143734255,0.13324363031473704,False
deepseek,last_token_hs,19,0.8079756498336792,0.042202409356832504,0.08323895931243896,0.09977969527244568,0.05223227873948902,0.10302161869553074,0.12349344351279053,False
deepseek,last_token_hs,20,0.782964825630188,0.06317631155252457,0.11542510241270065,0.13756725192070007,0.0806885692491685,0.14742054640806884,0.1757004241026738,False
deepseek,last_token_hs,21,0.7703977227210999,0.08151284605264664,0.1445496380329132,0.16146421432495117,0.10580618769839743,0.1876298874850688,0.20958552908833636,False
deepseek,last_token_hs,22,0.7722532153129578,0.10300788283348083,0.1631292998790741,0.17692607641220093,0.13338614950503846,0.21123809735510846,0.2291037096433469,False
deepseek,last_token_hs,23,0.7721718549728394,0.16426770389080048,0.2469038963317871,0.26132261753082275,0.21273464298511435,0.3197525197813274,0.33842546299491144,False
deepseek,last_token_hs,24,0.7686949372291565,0.20630954205989838,0.28876662254333496,0.30242377519607544,0.2683893597680808,0.37565828595700823,0.3934249603440793,False
deepseek,last_token_hs,25,0.7718175053596497,0.24448281526565552,0.3286440968513489,0.34344497323036194,0.3167624646602593,0.4258054456774832,0.4449820985471485,False
deepseek,last_token_hs,26,0.7636783123016357,0.2727813124656677,0.34851035475730896,0.36183685064315796,0.35719400180887323,0.45635753843387294,0.47380794349472183,False
deepseek,last_token_hs,27,0.7575271129608154,0.2815675437450409,0.3422833979129791,0.35453861951828003,0.37169302448400354,0.45184309849340587,0.46802102981179927,False
deepseek,last_token_hs,28,0.7751693725585938,0.3397204875946045,0.3822983503341675,0.392549067735672,0.43825323809336336,0.49318041174965305,0.5064042538729171,False
deepseek,last_token_hs,29,0.7778259515762329,0.3342989385128021,0.35629981756210327,0.3647920787334442,0.42978630095249304,0.4580713935297171,0.4689893388028617,False
deepseek,last_token_hs,30,0.7995165586471558,0.07207197695970535,0.12741433084011078,0.15828406810760498,0.09014444564057153,0.15936421761633773,0.19797472159355142,False
deepseek,mean_pool_hs,0,0.7173976898193359,0.05164775624871254,0.1232447698712349,0.16532467305660248,0.07199320123503482,0.17179421068706247,0.23045052333279273,False
deepseek,mean_pool_hs,1,0.9895051717758179,0.9016433954238892,0.9225051403045654,0.9304343461990356,0.911206349539086,0.9322893569611055,0.9403026611060854,False
deepseek,mean_pool_hs,2,0.9992011785507202,0.8170908689498901,0.9727956056594849,0.9823544025421143,0.8177441004773734,0.9735733169074771,0.9831397556665804,False
